Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Uma menina chorando abriu a porta.	MULHER MENINO PORTA CHORAR ABRIR
Preciso ir dormir.	EU PRECISAR DORMIR
O sinal '&' significa 'e'.	SINAL SIGNIFICAR
A marca '&' significa 'e'.	MARCA SIGNIFICAR
Ufa! Esta ladeira está difícil. Mas a volta será moleza.	UFA LADEIRA ESTE DIFÍCIL MAS VOLTA MOLEZA
Na realidade, o custo de vida está subindo cada semana.	CUSTO CADA REALIDADE VIDA SEMANA SUBIR
Há um pouco de verdade no que ele está dizendo.	ELE UM POUCO VERDADE HAVER DIZER
Vai ao médico pegar a receita!	MÉDICO RECEITA PEGAR ELE IR
Bob a lembra: "6 pence por segundo".	A DT(B-O-B) 6 PÉNI DOIS LEMBRAR
Bob diz: "Quatro libras e cinquenta".	DT(B-O-B) 0 LIBRA 50 DIZER
Quando tinha 17 anos de idade, velejei pelo Mediterrâneo numa escuna, ela recitou lenta e cuidadosamente.	QUANDO CUIDADOSO EU VELEJAR TER 17 IDADE ANO MEDITERRÂNEO ESCUNA LENTO CUIDADOSO VELEJAR RECITAR
Ela estava sempre praticando piano.	SEMPRE PIANO PRATICAR
Estou morrendo de dor nas costas.	DOR COSTAS MORRER
John ficou em casa tal como lhe foi dito.	TAL COMO DT(J-O-H-N) LHE DIZER CASA FICAR
Muriel completou 20 anos.	DT(M-U-R-I-E-L) 20 ANO COMPLETAR
Voltarei em breve.	EM BREVE EU VOLTAR
Não sei.	EU NÃO_SABER {NÃO}(headshake)
O que está fazendo?	{O FAZER}(q)
Hoje é dia 18 de junho, aniversário do Muiriel!	HOJE DIA 18 ANIVERSÁRIO JUNHO DT(M-U-I-R-I-E-L)
Feliz aniversário, Muiriel!	FELIZ ANIVERSÁRIO DT(M-U-I-R-I-E-L)
A senha é "Muiriel".	SENHA MUIRIEL
O que eu poderia dizer...	O EU DIZER PODER
Eu fui na montanha.	EU MONTANHA IR
O prisioneiro escapou na calada da noite.	PRISIONEIRO CALADA NOITE ESCAPAR
Quando duas pessoas têm a mesma opinião, uma delas é supérflua.	QUANDO PESSOA ELES TER ELAS SUPÉRFLUO OPINIÃO
Eu gostaria de estudar em Paris.	EU PARIS ESTUDAR GOSTAR
Você sabe a diferença entre um microscópio e um telescópio?	{VOCÊ TELESCÓPIO DIFERENÇA MICROSCÓPIO SABER}(q)
Esta receita foi testada para vocês por uma das melhores equipes de gourmets da Romênia.	RECEITA ESTE VOCÊS GOURMETS ROMÊNIA EQUIPAR TESTAR
Tu tinhas um bocado de tempo.	TU BOCADO TEMPO TER
Fomos com chuva mas voltamos com sol.	CHUVA NÓS IR MAS NÓS VOLTAR
Quando iremos comer? Eu estou com fome!	COMER NÓS IRAR QUANDO EU FOME (NÃO)
Eu jamais imaginaria que algum dia buscaria por "Viagra" na Wikipédia.	EU ALGUM VIAGRA DIA WIKIPÉDIA BUSCAR IMAGINAR (NÃO)
Como foi que essa ideia insana lhe veio à mente?	INSANO ESSE IDEIA MENTE LHE VIR COMO (NÃO)
Irei comprar uma nova câmera, desta vez uma digital.	DESTA VEZ NOVO DIGITAL CÂMERA COMPRAR EU IR
Desculpe-me. Retiro o que eu disse.	EU DESCULPAR EU O RETIRAR DIZER
Minha esposa está tentando dormir.	MEU MULHER ESPOSO DORMIR TENTAR
Eu vim a Tóquio há três anos e desde então vivo aqui.	EU HAVER TÓQUIO 3 ANO VIR AQUI DESENTÃO
Na semana que vem irei trabalhar em Tóquio.	SEMANA TÓQUIO IR TRABALHAR VIR
Bicicletas são ferramentas para sustentabilidade urbana.	BICICLETAS FERRAMENTAS URBANO SUSTENTABILIDADE
Eu não sabia de onde isso veio.	ONDE EU ISSO VIR NÃO_SABER {NÃO}(headshake)
Quem compra este tipo de arte?	ESTE TIPO ARTE COMPRA QUEM (NÃO)
Eu não tive a intenção de te passar tal impressão.	EU TAL INTENÇÃO TU IMPRESSÃO PASSADO NÃO_TER {NÃO}(headshake)
Eu só posso esperar.	SÓ EU ESPERAR PODER
Isso está me deixando louco.	ISSO EU LOUCO DEIXAR
Por algum motivo o microfone não funcionou até agora.	ATÉ MICROFONE ALGUM MOTIVO AGORA FUNCIONAR (NÃO)
Ele morreu em idade avançada.	ELE IDADE MORRER AVANÇAR
Mesmo agora, muitos anos após a Guerra Fria, há ainda muito rancor entre russos e alemães, sobretudo em áreas outrora ocupadas pela União Soviética.	MESMO AGORA ANOS MUITOS GUERRA FRIA AINDA RANCOR RUSSOS HAVER SOBRETUDO OUTRORA ALEMÃES ÁREAS UNIÃO SOVIÉTICA OCUPAR
As férias acabaram agora.	AGORA FÉRIAS ACABAR
Eu gostaria de recuperar meus bens.	EU BENS MEU RECUPERAR GOSTAR
É inevitável que eu vá para a França um dia, eu só não sei quando.	QUANDO EU EU INEVITÁVEL IR DIA FRANÇA SABER AINDA_{NÃO}(headshake)
Ele não faz meu tipo.	ELE MEU TIPO FAZER (NÃO)
Talvez você tenha razão, eu foi egoísta.	TALVEZ VOCÊ EU TER EGOÍSTA RAZÃO IR
Volte logo.	LOGO VOLTE
Por favor, não tirem fotos aqui.	AQUI FOTOS ELES TIRAR (NÃO)
Melhor ser odiado por aquilo que somos do que ser amado por aquilo que não somos.	MELHOR DO QUE AQUILO AQUILO ODIAR AMAR (NÃO)
Este é o homem que eu vejo no trem todos os dias.	TODOS OS DIAS ESTE HOMEM EU TREM VER
Se você precisar de um guarda-chuva, eu lhe empresto um.	SE VOCÊ EU MULHER GUARDA CHUVA LHE PRECISAR EMPRESTAR
Não é minha culpa!	CULPA MEU (NÃO)
Eu irei pagar com cheque.	EU CHEQUE PAGAR IR
David tem uma inclinação apaixonada por Estética - as características que fazem uma pintura, uma escultura, uma composição musical ou um poema ser agradável aos olhos, ouvidos ou mente.	DT(D-A-V-I-D) INCLINAÇÃO ESTÉTICA PINTURA CARACTERÍSTICAS ESCULTURA COMPOSIÇÃO MUSICAL TER APAIXONAR FAZER OU POEMA AGRADÁVEL OLHO OUVIR OU ELE MENTIR
Eu geralmente tomo banho à noite.	GERAL EU BANHO NOITE TOMAR
Esqueça disso. Não vale a pena.	ISSO ELE ESQUECER PENA ELE VALER (NÃO)
A discrepância entre as histórias de ambas partes envolvidas no acidente foi tão grande, que as autoridades tiveram dificuldade em decidir qual lado dizia a verdade.	TÃO DISCREPÂNCIA AMBOS GRANDE AUTORIDADES QUAL HISTÓRIA PARTES DIFICULDADE ACIDENTE DIZER LADO DIZER VERDADE ENVOLVER IR DECIDIR
Casacos pretos são moda neste inverno.	CASACOS ESTE MODA INVERNO
Eu preciso ir para a cama.	PRECISO IR CAMA
Eu não quero passar o resto da minha vida lamentando por isso.	EU RESTO VIDA MEU ISSO PASSADO PASSADO LAMENTAR (NÃO)
Encare a vida com um sorriso!	VIDA SORRISO ELE ENCARAR
Ela se move como uma rainha e mostra que traz consigo o ritmo no sangue.	COMO MULHER REI ELE MOVER RITMO ELE TRAZER CONSIGO SANGUE MOSTRAR
Quem são aqueles caras?	AQUELE CARA QUEM (NÃO)
O quê?	O QUÊ (NÃO)
Por quanto tempo ficaste?	TEMPO FICAR QUANTO (NÃO)
Ela ficou doente neste final de semana.	ESTE DOENTE FINAL SEMANA ELE FICAR
Esta canção é tão comovente que me traz lágrimas aos olhos.	TÃO CANÇÃO ESTE COMOVENTE EU TRAZER LÁGRIMAS OLHO
Você realmente precisa perguntar pra saber a resposta?	{REAL VOCÊ RESPOSTA PERGUNTAR SABER PRECISAR}(q)
Eu preciso tomar remédios.	PRECISO TOMAR REMÉDIOS
Ah, quando eles se encontrarão novamente?	NOVAMENTE AH ELES ENCONTRAR QUANDO (NÃO)
"Não", repetiu o inglês.	INGLÊS ELE REPETIR (NÃO)
Tal pai, tal filho.	TAL PAI FILHO
Esta maçã está bem vermelha.	MAÇÃ ESTE VERMELHO TUDO BEM
Assim eu mato dois coelhos com uma cajadada só.	ASSIM EU 2 COELHO CAJADADA SÓ MATAR
Feliz Natal!	FELIZ NATAL
Eu não quero perder minhas ideias, mesmo que algumas delas sejam um pouco extremas.	MEU ELAS EU PERDER IDEIAS ALGUMAS UM POUCO EXTREMAS MEU (NÃO)
Eu gostaria de provar a saia azul com listras.	EU SAIA AZUL LISTRAS PROVAR GOSTAR
De onde partirão os ônibus do aeroporto?	ÔNIBUS AEROPORTO PARTIR ONDE (NÃO)
Queres uma xícara de café?	{XÍCARA CAFÉ TU QUERER}(q)
Há um pequeno jardim na frente de minha casa.	PEQUENO JARDIM FRENTE CASA MEU HAVER
Eu sou dona de casa.	EU MULHER DOM CASA
As sete questões que um engenheiro deve se perguntar: quem, o quê, quando, onde, por quê, como e quantos.	QUANDO QUEM ENGENHEIRO MULHER QUESTÃO QUANTOS 7 PERGUNTAR DEVER
Eu devo lavar as roupas enquanto houver sol.	EU ROUPAS LAVAR DEVER ENQUANTO HAVER
Não fale com ele enquanto ele dirige.	DELE ELE FALIR NÃO ENQUANTO ELE DIRIGIR (NÃO)
"O que você quer?" "Eu quero um cão."	O VOCÊ QUERER EU CÃO QUERER
Energia nuclear deve ser utilizada para fins pacíficos.	ENERGIA PACÍFICOS FINS UTILIZAR DEVER
"O telefone está tocando." "Eu já estou indo".	TELEFONE TOCAR JÁ EU INDO
Hoje está muito quente.	HOJE QUENTE
Este jornalista, cujo artigo te interessou tanto, é meu vizinho.	JORNALISTA TU MEU ESTE TANTO INTERESSAR VIZINHO
Gosto não se discute.	GOSTO DISCUTIR (NÃO)
Eu uso um marca-passo.	EU MARCA PASSO USAR
Meu irmão é muito importante. Ao menos ele pensa assim.	IRMÃO MEU IMPORTANTE AO MENOS ELE ASSIM PENSAR
O que achaste de seu novo romance?	{O ROMANCE NOVO SEU ACHAR}(q)
Oh, ali está uma borboleta!	ALI OH BORBOLETA
O tédio é o sentimento de que tudo é uma grande perda de tempo; serenidade, de que nada é.	SENTIMENTO TUDO NADA TÉDIO PERDA TEMPO
Quanto custa?	ELE CUSTAR QUANTO (NÃO)
A conta, por favor.	CONTA FAVOR
Obrigado, isso é tudo.	OBRIGADO TUDO ISSO
Eu não entendo.	EU ENTENDER (NÃO)
Eu perdi minha carteira.	EU CARTEIRA MEU PERDER
Eu não falo japonês.	JAPONÊS EU FALAR (NÃO)
Nós não conseguimos dormir por causa do barulho.	NÓS CAUSA BARULHO DORMIR CONSEGUIR (NÃO)
O lado material não define nossa vida, mas o lado espiritual.	MATERIAL ESPIRITUAL LADO NOSSO VIDA MAS LADO DEFINIR (NÃO)
Quão longe daqui é o aeroporto?	{QUÃO LONGE AQUI AEROPORTO}(q)
Quanto tempo demora para o ônibus do aeroporto chegar até o aeroporto?	ELE DEMORAR ÔNIBUS TEMPO AEROPORTO AEROPORTO DEMORAR CHEGAR QUANTO (NÃO)
Quando você franze as sobrancelhas, isso pode significar "eu tenho vontade de fazer sexo com você", mas também "eu acho, que isso que você acabou de dizer é perfeitamente idiota".	QUANDO FRANZIR VOCÊ SOBRANCELHAS ISSO EU TER VONTADE SEXO VOCÊ SIGNIFICAR PODER FAZER MAS TAMBÉM EU ISSO VOCÊ PERFEITO IDIOTA ACHAR ACABAR DIZER
Eu gostaria de uma reserva no hotel.	EU RESERVA HOTEL GOSTAR
Por favor, me traga o segurança do hotel.	SEGURANÇA HOTEL ELE TRAGAR
Eu gosto muito do meu trabalho.	EU MEU TRABALHO GOSTAR
Obrigado por me explicar finalmente por que as pessoas me tomam por um idiota.	FINAL PESSOA EU TOMAR IDIOTA EU EXPLICAR
Um garfo está faltando.	GARFO FALTAR
A vida não é uma ciência exata, ela é uma arte.	CIÊNCIA VIDA (NÃO)
Ao hotel Hilton, por favor.	HILTON HOTEL FAVOR
Você pode me mostrar seu passaporte, por favor?	{EU VOCÊ PASSAPORTE FAVOR SEU MOSTRAR PODER}(q)
Bom dia, como vai?	DIA BOM ELE IR COMO (NÃO)
Com licença, eu estou perdido.	EU LICENÇA PERDER
Qual é seu tipo sanguíneo?	TIPO SANGUÍNEO SEU QUAL (NÃO)
Eu não irei me rebaixar ao nível dele.	EU NÍVEL EU DELE REBAIXAR IR (NÃO)
Eu não irei me rebaixar a seu nível.	EU SEU EU NÍVEL REBAIXAR IR (NÃO)
Me mostre o que você comprou?	{EU O VOCÊ MOSTRAR COMPRAR}(q)
Eu não gosto de sair quando está chovendo.	EU SAIR GOSTAR NÃO QUANDO CHOVER (NÃO)
Minha bagagem extraviou.	MEU BAGAGEM EXTRAVIAR
Disseram-me que eu sou pragmático, e eu sou.	EU DIZER PRAGMÁTICO EU
Por favor, mostre seu tíquete.	TÍQUETE SEU
Eu gostaria de um copo de café.	EU COPO CAFÉ GOSTAR
Por favor, me dê um copo d'água.	D'ÁGUA EU COPO DAR
Quem cala, consente.	QUEM CALA
Nós aceitamos sua oferta com prazer.	NÓS OFERTA PRAZER SEU ACEITAR
Você pode me emprestar quinhentos ienes?	{VOCÊ 500 EU IENE EMPRESTAR PODER}(q)
O que aconteceu?	{O ACONTECER}(q)
Eu gastei todo o dinheiro.	EU TODO DINHEIRO GASTAR
Goste você ou não, você precisa fazê-lo.	VOCÊ GOSTAR OU VOCÊ FAZER FAZER PRECISAR (NÃO)
Tens uma caneta contigo?	{CONTIGO CANETA TER}(q)
Ele não parece ter a idade que tem.	ELE IDADE TER TER PARECER (NÃO)
Eu aceito, mas apenas sob uma condição.	EU ACEITO MAS CONDIÇÃO APENAS
Eu o vejo raramente.	RARO EU O VER
Se pensas que educação é cara, espere para ver o quanto custa a ignorância.	PENSAR EDUCAÇÃO CARA ESPERAR VER QUANTO CUSTAR IGNORÂNCIA
A verdade é que ele não poderia saber da verdade.	VERDADE ELE VERDADE SABER PODER (NÃO)
Eu estou cansado de comer fast-food.	EU CANSAR FAST FOOD COMER
Não te preocupes.	TU PREOCUPAR (NÃO)
Tentar resolver este problema não dá em nada.	ESTE TENTAR PROBLEMA NADA RESOLVER ELE DAR (NÃO)
O fósforo alimenta as cianobactérias (algas azuis), que proliferam e liberam toxinas.	ALGAS FÓSFORO CIANOBACTÉRIAS ALIMENTAR PROLIFERAR TOXINAS ELES LIBERAR
Eu não posso mais aguentar esse barulho.	EU ESSE BARULHO MAIS AGUENTAR PODER (NÃO)
Como se pronuncia "pronounce"?	{ELE PRONUNCIAR PRONOUNCE COMO SE}(q)
Essa é minha resposta!	ESSA RESPOSTA MEU
O mundo não gira ao redor de ti.	MUNDO REDOR TI GIRAR (NÃO)
É bom ter ideais... não achas?	{BOM IDEAIS TER TU ACHAR NÃO}(q)
Sempre se pode encontrar tempo.	SEMPRE TEMPO ENCONTRAR PODER
Pais amam suas crianças.	PAIS CRIANÇAS SEU AMAR
Queijo é um alimento sólido produzido a partir de leite de vaca, cabras, ovelhas ou outros mamíferos.	ALIMENTO OUTRO QUEIJO SÓLIDO LEITE OU CABRAS BOI OVELHAS OU MAMÍFEROS PRODUZIR
Quais canções famosas vocês gostariam de ter composto e por quê?	MULHER CANÇÃO COMPOR GOSTAR QUAIS QUÊ (NÃO)
Os olhos dela brilhavam de alegria.	OLHO ALEGRIA ELES BRILHAR
Meu computador tem que me ser útil para algo.	COMPUTADOR MEU EU ÚTIL ALGO
Eu quero uma bala.	EU BALA QUERER
Pergunte a Trang se ele sairá esta noite.	PERGUNTAR ELE ESTE DT(T-R-A-N-G) NOITE PERGUNTAR SAIR
O filme me agradou.	FILME EU AGRADAR
Sinto que estou livre.	LIVRE SENTIR
Eu me lembro de ter visto este filme.	EU ESTE EU FILME LEMBRAR VER
Ontem o despertador não tocou e Kurt não acordou.	ONTEM DESPERTADOR TOCAR NÃO DT(K-U-R-T) ACORDAR (NÃO)
O custo de vida aumentou drasticamente.	DRASTICAMENTE CUSTO VIDA AUMENTAR
Essa é minha amiga Rachel, nós fomos juntos ao colégio.	ESSA AMIGO DT(R-A-C-H-E-L) MEU NÓS JUNTOS COLÉGIO IR
Eu estou com vergonha de mim mesmo.	MESMO EU VERGONHA EU
É impossível aprender inglês em um mês.	IMPOSSÍVEL INGLÊS APRENDER MÊS
Onde vives?	TU VIVER ONDE (NÃO)
Eu tive sorte de ter conseguido achar uma boa babá.	EU SORTE BOM BABÁ TER ACHAR CONSEGUIR
