Tua mão está gelada.	MÃO TEU GELAR
Ele perdeu seu lugar.	ELE LUGAR SEU PERDER
As crianças odeiam comer vegetais.	CRIANÇAS VEGETAIS COMER ODIAR
Aquilo me fez chorar.	AQUILO EU CHORAR FAZER
Tu deves realmente fazer tudo para não beber tanta cerveja.	REAL TU TANTO TUDO CERVEJA FAZER DEVER BEBER (NÃO)
Eu vi o cão e o gato.	EU CÃO GATO VER
Vou ficar com minha tia por enquanto.	ENQUANTO TIO MEU FICAR
Eu não posso concordar com a sua proposta.	EU PROPOSTA SEU CONCORDAR PODER (NÃO)
Diga-o aos outros!	OUTROS O DIZER
Tom não está com nenhum dinheiro.	DT(T-O-M) NENHUM DINHEIRO (NÃO)
Alif é a primeira letra do alfabeto árabe.	ALIF LETRA PRIMEIRO ÁRABE ALFABETO
Você me ajudou.	VOCÊ EU AJUDAR
Tua mãe se orgulhará de ti.	MÃE TEU TU ORGULHAR
Tom foi aprovado no exame final.	FINAL DT(T-O-M) EXAME APROVAR
As pessoas querem mudança.	PESSOA ELES QUERER
Todos concordaram com isso?	{TODO ISSO ELES CONCORDAR}(q)
Há quanto tempo estudas inglês?	TEMPO INGLÊS HAVER ESTUDAR QUANTO (NÃO)
Não me apetece nada.	EU NADA APETECER (NÃO)
Parem de jogar pedregulhos na minha janela.	PEDREGULHOS JANELA MEU JOGAR ELES PARIR
Meu avô sai para caminhar todas as manhãs.	AVÔ MEU TODAS AS CAMINHAR MANHÃS SAIR
Só bebi três latas de cerveja.	SÓ LATA 3 CERVEJA EU BEBER
Maria não matou o marido dela.	DT(M-A-R-I-A) MARIDO MATAR (NÃO)
Eu insisto que você faça isso hoje.	HOJE EU VOCÊ ISSO FAZER INSISTIR
Tom está sendo muito egoísta, não é?	{DT(T-O-M) EGOÍSTA}(q)
Por que Tom precisa dessa informação?	{DT(T-O-M) INFORMAÇÃO PRECISAR}(q)
Não consigo me lembrar onde Tom mora.	ONDE DT(T-O-M) EU LEMBRAR MORAR CONSEGUIR (NÃO)
Eu me sinto jovem e cheio de energia.	EU EU JOVEM CHEIO ENERGIA SENTIR
Não quero parar de fazer isto.	ELE PARAR FAZER (NÃO)
Por que Tom está apontando para Maria?	{DT(T-O-M) DT(M-A-R-I-A) APONTAR}(q)
Não quero comer lá de novo.	LÁ NOVO COMER (NÃO)
Não quero comer lá novamente.	NOVAMENTE LÁ COMER (NÃO)
Não me lembro onde você trabalha.	ONDE EU VOCÊ TRABALHAR LEMBRAR (NÃO)
Por que Tom precisa desta informação?	{DT(T-O-M) ESTE INFORMAÇÃO PRECISAR}(q)
Não consigo acreditar que Tom comeu tudo isso.	DT(T-O-M) COMER TUDO ISSO ACREDITAR CONSEGUIR (NÃO)
Tom tem que ir para a cama.	DT(T-O-M) CAMA IR
O que Tom fará sem Maria?	{O DT(T-O-M) DT(M-A-R-I-A) FAZER}(q)
Tom está no supermercado, não é?	{DT(T-O-M) SUPERMERCADO}(q)
Não consigo acreditar que comemos tudo isso.	COMER TUDO ISSO ACREDITAR EU CONSEGUIR (NÃO)
Tom quer que Maria venha.	DT(T-O-M) DT(M-A-R-I-A) QUERER
Tom está na biblioteca agora, não é?	{AGORA TOM BIBLIOTECA}(q)
